"Date","Name","Subject","FromLabel","FromEmail","PreviewText","TemplateId","HtmlChars"
"2026-02-19","Daily | 190226 | They Said She Couldn't Fly","She walked in. They stared.","Michelle @ Afroyla","michelle@afroyla.com","","Wz9q8M","38125"
"2026-02-17","Daily | 170226 |","This review made me wake George up.","Michelle @ Afroyla","michelle@afroyla.com","","Ty4jg7","37181"
"2026-02-15","Daily | 150226 | Writer Confession","I was going to be a writer.","Michelle @ Afroyla","michelle@afroyla.com","Then my daughter destroyed me at 6:52 AM","VqDnE9","42457"
"2026-02-13","TEASER | 130226 | Bag Charm Survey","Question: Afroyla bag charms - yes or no?","Michelle @ Afroyla","michelle@afroyla.com","I need your vote on these","WrS667","36399"
"2026-02-11","SALE | 110226 | BLS-LOVE DAY 3 Close","this might be the craziest day in afroyla history","Michelle @ Afroyla","michelle@afroyla.com","","VqdF2j","34630"
"2026-02-11","TEASER | 110226 | BLS - Day 3 - LAST CALL","The craziest three days in Afroyla history.","Michelle @ Afroyla","michelle@afroyla.com","Your Starbucks costs more than our wallet. Only today.","RcmRcE","34137"
"2026-02-11","TEASER | 110226 | BLS - Day 3 - Opening","[LAST DAY] $0.95 Premium Leather Wallets. Hidden in the collection.","Michelle @ Afroyla","michelle@afroyla.com","Premium leather wallets. Normally $49.95. For less than a dollar.","Tbn2Aw","42235"
"2026-02-11","SALE | 110226 | BLS-LOVE DAY 3 Opening","Today I'm doing $0.95 wallets","Michelle @ Afroyla","michelle@afroyla.com","FINAL DAY of Black Love Sale","REkExt","38868"
"2026-02-11","SALE | 100226 | BLS-LOVE DAY 2 - LAST DROP","a few $9.95 leather backpacks still hiding in there","Michelle @ Afroyla","michelle@afroyla.com","The Last Round Today","XEGEH9","38144"
"2026-02-11","TEASER | 100226 | BLS - Day 2 - Last Drop","That dumb idea at breakfast turned into the most FUN day we've ever had at Afroyla","Michelle @ Afroyla","michelle@afroyla.com","The last drop of today is sitting there. Right now.","XhNT7C","41504"
"2026-02-10","SALE | 100226 | BLS-LOVE DAY 2","Backpacks at $9.95 – Yes, Really!","Michelle @ Afroyla","michelle@afroyla.com","Day 2 of Black Love Sale is LIVE.","T5jS2D","48760"
"2026-02-10","TEASER | 100226 | BLS - Day 2","Leather backpacks. $9.95... My husband thinks he's the CEO now.","Michelle @ Afroyla","michelle@afroyla.com","Day 2 of Black Love Sale is LIVE.","RGq2iy","48247"
"2026-02-09","TEASER | 090226 | BLS - Last Drop Day 1","Women were stacking 3, 4, 5 bags per order.","Michelle @ Afroyla","michelle@afroyla.com","","T8qqHP","39714"
"2026-02-09","TEASER | 090226 | BLS IS LIVE","Atlanta just grabbed the $9.95 bag","Michelle @ Afroyla","michelle@afroyla.com","","QREMhT","38116"
"2026-02-09","SALE | 090226 | Round 1 - REGISTERED","[Announcement] Black Love Sale is LIVE. GO","Michelle @ Afroyla","michelle@afroyla.com","170 bags. Starting from $9.95","UPL7bf","36042"
"2026-02-08","TEASER | 080226 | LAST CALL","Last Call to Join...","Michelle @ Afroyla","michelle@afroyla.com","Every bag. 50% off MINIMUM.","S2nXWz","37111"
"2026-02-08","TEASER | 080226 | BLS-LOVE 04","Tomorrow. 10am ET. BLACK LOVE SALE IS ON.","Michelle @ Afroyla","michelle@afroyla.com","","Urq6qC","37993"
"2026-02-07","TEASER | 070226 | Two Strategy","2 Days Left... So I did what any reasonable CEO would do","Michelle @ Afroyla","michelle@afroyla.com","","SQVNtj","40830"
"2026-02-06","TEASER | 060226 | BLS-LOVE 03","I let my friends test the hunt yesterday...","Michelle @ Afroyla","michelle@afroyla.com","","SXtYwi","44361"
"2026-02-06","TEASER | 060226 | Math Problem","Those are YOURS if you show up.","Michelle @ Afroyla","michelle@afroyla.com","3 days. Until Black Love Sale goes LIVE.","YiX94e","36706"
"2026-02-05","TEASER | 050226 | Claw Machines","My 7-year-old taught me something about sales","Michelle @ Afroyla","michelle@afroyla.com","That's what I wanted Black Love Sale to feel like.","XzRAfa","37809"
"2026-02-04","TEASER | 040226 | SHE GETS IT","She said the most beautiful thing...","Michelle @ Afroyla","michelle@afroyla.com","about our upcoming Black Love Sale","Re5GE7","35928"
"2026-02-04","TEASER | 040226 | BLS 02","""Is the $9.95 bag real?"" (Yes. But also...)","Michelle @ Afroyla","michelle@afroyla.com","","TYs9Jw","35607"
"2026-02-03","TEASER | 030226 | Correct Keyword","OOPS! I made a mistake","Michelle @ Afroyla","michelle@afroyla.com","","TqiUxT","35015"
"2026-02-03","TEASER | 030226 | Not Valentine Sale","We're talking bags as low as $9.95","Michelle @ Afroyla","michelle@afroyla.com","","TNvcm9","34927"
